from,to,freq,reverse,total,,,Total Bank Capital/$,Total Assets/$,probability,day,,from2,V,,degree,freq,prob freq
1,8,0.007056538,1.05E-02,1.76E-02,,1,"211,846,000","2,140,778,000",0.098957482,1,1,1,1,,1,18,0.6
1,12,1.30E-02,1.84E-02,3.14E-02,,12,"15,129,000","129,707,000",0.116639811,2,,2,2,,2,3,0.1
1,2,1.04E-01,0.14554269,2.49E-01,,15,"16,397,698","118,537,345",0.138333603,2,3,3,3,,3,4,0.133333333
1,11,0.008504922,1.26E-02,2.11E-02,,6,"23,263,105","180,371,724",0.128973126,3,,4,4,,5,4,0.133333333
1,13,0.01219454,1.75E-02,2.97E-02,,13,"16,103,151","123,325,220",0.130574679,3,5,5,5,,6,1,0.033333333
1,15,0.0116277,1.69E-02,2.85E-02,,11,"16,963,000","137,474,000",0.123390605,6,6,6,6,,,30,
2,5,3.47E-173,1.51E-175,3.49E-173,,8,"16,887,506","140,077,697",0.120558136,10,,7,7,,,,
2,3,0.097761815,7.22E-02,1.70E-01,,22,"13,522,396","74,450,413",0.181629563,10,8,8,8,,,,
2,6,6.76E-04,1.03E-03,1.71E-03,,2,"166,558,000","1,747,354,000",0.095320124,11,,9,9,,,,
2,27,0.004457627,3.09E-03,7.54E-03,,14,"14,312,146","118,072,176",0.12121523,11,,21,10,,,,
3,16,0.02903147,0.041324712,7.04E-02,,20,"12,092,248","86,504,843",0.139786948,11,11,10,11,,,,
3,17,0.01073702,0.01555057,2.63E-02,,9,"15,170,771","135,758,439",0.111748272,14,,11,12,,,,
3,7,0.004549596,0.007592157,1.21E-02,,3,"207,784,000","1,751,524,000",0.118630404,18,13,12,13,,,,
3,18,0.010464,0.014794092,2.53E-02,,16,"37,756,198","290,651,177",0.129902099,19,14,25,14,,,,
4,26,0.003941199,0.01302423,1.70E-02,,17,"15,441,813","109,372,608",0.141185378,19,15,13,15,,,,
4,25,0.005352433,0.01512476,2.05E-02,,27,"4,031,691","43,119,702",0.093499974,21,16,15,16,,,,
4,5,1.67E-02,0.05017966,6.69E-02,,5,"24,552,833","201,637,519",0.121767185,22,,16,17,,,,
4,23,0.007306286,0.02149466,2.88E-02,,7,"25,546,000","164,539,000",0.155258024,22,18,17,18,,,,
4,10,1.47E-02,0.04147198,5.61E-02,,4,"142,866,000","1,385,697,000",0.103100461,24,,29,19,,,,
5,28,3.82E-03,1.28E-03,5.11E-03,,18,"11,313,863","104,052,030",0.108732746,24,,28,20,,,,
5,29,3.32E-03,1.12E-03,4.44E-03,,19,"12,125,302","89,765,667",0.135077278,24,,27,21,,,,
5,30,3.20E-03,1.08E-03,4.28E-03,,21,"7,818,301","87,780,507",0.089066483,24,22,20,23,,,,
6,14,1.18E-02,1.68E-02,2.85E-02,,30,"3,229,426","31,106,198",0.103819374,25,23,26,24,,,,
6,12,1.33E-04,8.53E-05,2.18E-04,,29,"3,255,912","32,217,466",0.101060462,26,24,19,25,,,,
7,24,6.71E-03,0.006752304,1.35E-02,,10,"9,223,936","138,163,151",0.066761187,27,,18,26,,,,
7,21,9.09E-03,0.008969674,1.81E-02,,23,"7,408,789","71,609,090",0.103461572,27,26,14,27,,,,
8,20,8.42E-03,0.006192224,1.46E-02,,26,"9,058,000","43,390,000",0.208757778,28,27,22,28,,,,
8,9,9.70E-04,0.000807329,1.78E-03,,24,"7,613,929","66,080,511",0.115222005,29,28,23,29,,,,
9,10,2.65E-91,1.18E-93,2.66E-91,,25,"3,762,542","50,387,875",0.074671575,32,29,24,30,,,,
9,19,8.91E-03,1.28E-02,2.17E-02,,28,"3,830,696","37,120,068",0.10319744,33,30,30,22,,,,
11,22,6.96E-03,0.005329339,1.23E-02,,,,,,,,,,,,,
