"FXE","EWJ","GLD","QQQ","SPY","SHV","DBA","USO","XBI","ILF","GAF","EPP","FEZ"
"Cumulative Return",0.103014324026347,-0.133041712451012,0.301416775826659,0.0899237456682673,-0.0147791564894899,0.00407855399149293,0.31178027209046,0.536119000664271,0.239654086197869,0.358914156113246,0.156400211898855,0.142688067423842,0.122507419824057
"Mean Return",0.000494071235285283,-0.00068754539515636,0.00132660181947442,0.000495831186913714,-1.90273088382357e-05,2.36541664726194e-05,0.00136376826791504,0.00215342390502671,0.00111829425981156,0.00174971754802804,0.000815028949190218,0.000788451911829817,0.000641140933111911
"Min Return",-0.0079552524800552,-0.0244944175252387,-0.0132258930935788,-0.0350790196020036,-0.0313513886514856,-0.00760429803874279,-0.0102896552846248,-0.00903197441140814,-0.0295626588232099,-0.0560297289728784,-0.0377315949439588,-0.0450819367136309,-0.0324778209167579
"Max Drawdown",0.156039535770176,0.268052154888831,0.121112021219427,0.222531843070636,0.241921617177332,0.183949349329844,0.11232549620031,0.0606617652170939,0.177619925738535,0.237411341363233,0.219775069513937,0.234828170275406,0.212038590902566
"Volatility",0.0027334778700864,0.00722096264635636,0.00412534985572293,0.011433279130309,0.0105368123455873,0.00257600910305513,0.00345053087707894,0.0031155728678658,0.00934984492470135,0.020754066901758,0.0132947420874062,0.0155872988395893,0.0112511260991895
"Sharp Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Skewness",-0.290790685276878,-0.495558438495475,-0.463776919950758,-0.381716192871301,-0.447783330121161,-0.248206523886939,-0.43730299564061,-0.466759711544238,-0.401111421173706,-0.361137469083108,-0.415108637609476,-0.39124272227138,-0.427558387839231
"Kurtosis",0.0390923016508124,0.448835888702265,0.228843609367093,0.303933409857349,0.635225779115501,-0.0595850189043772,0.10800843973604,0.335441272601082,0.258505745389573,0.590423039269103,0.632680635005588,0.760566028445206,0.659857799366793
"Modified VaR",-0.00420981243760775,-0.0134502474615599,-0.0059479949951003,-0.0193992449358325,-0.0184708803698759,-0.00438446136470666,-0.00470485710263215,-0.00333647930197138,-0.0152081434636983,-0.0341334292346765,-0.022351790003913,-0.0262349902624304,-0.0189958027639321
"CVaR",-0.00550087160107093,-0.0175587194202999,-0.0080795563372768,-0.0255335269683735,-0.024951844258286,-0.00553718989535677,-0.00639116289314502,-0.00502766646346685,-0.0201281885688239,-0.0465745000708352,-0.0305048683306892,-0.0362093997089967,-0.0259727044137781
